"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "XML", "PostCSS", "MySQL SQL", "comment", "blank", "total"
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_18_071805_create_rubriques_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 7, 4, 33
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_18_071835_create_comptes_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 7, 5, 34
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_18_071840_create_sous_comptes_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 7, 5, 34
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084431_create_type_journals_table.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084539_create_mode_paiements_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 4, 29
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084545_create_journals_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 7, 4, 31
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084601_create_journals_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084601_create_mouvement_ecritures_table.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_084602_create_ligne_ecritures_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 7, 4, 36
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_23_105218_create_devises_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_24_092427_create_typecentre_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\ITU\FinanSchool\FinanSchool\Backend\database\migrations\2025_09_24_092619_create_axesanalytique_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
